Fecha (mes y año),Alcalinidad,Conductividad,DBO,DQO,Dureza,Fenoles,N-Amoniacal,Cloruros,N-Nitrato,P-Fosfato,Oxígeno disuelto,pH,Sólidos suspendidos totales,SAAM-Detergentes,Turbidez,Coliformes totales,Escherichia Coli,Norte (Y),Este(X) ,Caudal,Temperatura agua,Temperatura aire
1/07/2020,"9,10","24,7",#N/A,"23,90","9,36",#N/A,"0,860","0,83","0,14",#N/A,"6,8","7,19",6,#N/A,"5,2",24000,5500,1000040,997204,1034,"11,4","19,8"
1/07/2020,142,472,"34,70",183,"61,23",#N/A,"15,336","58,84",#N/A,"1,13","0,42","7,69","62,50","1,52","60,3",25000000,7400000,1007446,990654,9255,"18,1","16,6"
1/07/2020,206,686,162,660,"90,86",#N/A,"32,376","74,35","0,23","3,49","0,65","7,33",152,"3,47","55,6",24000000,6300000,1004000,983635,49943,"17,6","13,3"
1/07/2020,233,702,254,315,"133,02",#N/A,"20,036","84,02","0,13","3,25","0,42","7,04",3220,"0,79",107,10000000,1300000,1004234,981900,#N/A,"16,8","17,2"
1/07/2020,197,631,123,979,"96,07",#N/A,"25,965","70,74","0,12","3,35","0,45","7,17",720,"0,75",140,24000000,6300000,1001927,980761,#N/A,"18,8","18,3"
1/07/2020,178,600,"66,7",729,"53,4","0,34","28,135","49,73",#N/A,"4,24","0,66","7,57",85,"1,19",65,24000000,4800000,1000131,983563,212,"17,5","20,8"
1/07/2020,316,852,"43,6",366,"79,92","0,49","40,297","74,81","0,16","5,30","0,97","7,52","26,7","3,40","42,5",7700000,1500000,1000636,982256,#N/A,"17,8","21,5"
1/07/2020,177,566,"94,9",572,"52,6","0,227","20,965","62,80","0,12","2,82","0,45","7,19",64,"2,67","50,8",16000000,7700000,998020,980644,"37,9","18,2","20,6"
1/07/2020,194,607,98,660,"53,17",#N/A,"22,681","69,04",#N/A,"2,71","0,42","7,22",66,"2,79","50,2",15000000,7700000,994327,979933,39149,19,"20,5"
1/08/2020,261,715,"92,7",212,"62,93",#N/A,"34,390","79,02","0,25","3,44",0,"7,81",134,"3,09","39,80",1000000,260000,994297,978755,#N/A,"17,1","13,6"
1/08/2020,"67,06",272,2,#N/A,102,#N/A,#N/A,"6,14","0,28",#N/A,"7,70","8,03",10,#N/A,"7,23",240000,410,1002597,969252,"3,27",19,"19,6"
1/08/2020,"87,56",727,#N/A,#N/A,246,#N/A,#N/A,"9,19","0,50",#N/A,"5,90","8,55",4,#N/A,"2,99",11000000,3100000,1004003,965565,"15,8","25,9","27,4"
